Statistic,herring.pls,herring.pls.forced,herring.pcr
n,73,500,498
%pR2 < 0.05,12,4,NA
%pQ2 < 0.05,37,4,NA
Q2,0.206 ± 0.127,-0.267 ± 0.348,NA
R2Y,0.55 ± 0.164,0.403 ± 0.105,0.142 ± 0.11
R2X,0.279 ± 0.097,0.201 ± 0.06,0.546 ± 0.028
pR2,0.252 ± 0.203,0.498 ± 0.279,NA
pQ2,0.083 ± 0.055,0.523 ± 0.284,NA
RMSEP,0.506 ± 0.054,0.591 ± 0.076,0.554 ± 0.032
ncomp,1.315 ± 0.598,1 ± 0,2.606 ± 0.532
%p < 0.05,NA,NA,7
p,NA,NA,0.427 ± 0.287
