Variable,PCA,PLS
lma.leaflet,0.5675296002133572,0.9304291647761602
thick.vile,0.3338477812391286,0.4856867963845787
ldmc,0.39954464793679034,0.7227632572987703
A,-0.8763491473996157,0.05272282948710679
Vcmax,-0.697584014123928,0.12559712405254525
gs,-0.40406499159071363,0.06455005436030052
gm,-0.8444865480240753,-0.056369980386624274
wue,-0.3831202354517243,-0.10796988732594429
Rdark,0.04985687984025976,0.3009960761893574
