	P1	P2	P3	P4	P5	P6	P7	P8	P9
P1	0	6.49	37.83	47.23	85.77	96.71	282.55	313.05	316.89
P2	6.49	0	31.35	42.12	80.44	90.87	281.37	314.22	317.99
P3	37.83	31.35	0	26.59	57.44	63.88	276.95	320.90	324.25
P4	47.23	42.12	26.59	0	38.60	51.02	250.38	295.71	298.94
P5	85.77	80.44	57.44	38.60	0	17.51	230.59	289.51	292.12
P6	96.71	90.87	63.88	51.02	17.51	0	238.92	302.71	305.14
P7	282.55	281.37	276.95	250.38	230.59	238.92	0	112.26	110.41
P8	313.05	314.22	320.90	295.71	289.51	302.71	112.26	0	5.57
P9	316.89	317.99	324.25	298.94	292.12	305.14	110.41	5.57	0
