sample,site,latitude,longitude,species.name,species.code,author.citation,section,shade,vegetation.type,microtopographical.position,HC_mg_g,sphagn_litter_mg_g,sphagn_HC_mg_g,phenolics_TA_mg_g,phenolics_PHBA_mg_g,KL_mg_g,CEC_meq_g,N_mg_g,C_mg_g,CNratio,PO4_mg_g,abs_ratio_205_280,solubleKL_mg_g,totalKL_mg_g,solubleKL_perc_of_totalKL,dev_100perc,HWT2012,losslab2b,lossfield
MG15,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_2,Brid.,Sphagnum,1open,Open bog,Lawn-carpet,685.326,60.69718039,88.5668277,7.1270,9.7996,275.4237,0.7490,5.9184,445.3061,60.3056,0.4113,2.32,40.17649,315.6002188,12.73018446,0.09265647,390,24.5222483,13.97207166
MG16,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_2,Brid.,Sphagnum,1open,Open bog,Lawn-carpet,667.643,46.5581072,69.73500697,6.3977,8.7968,306.1013,0.8403,5.6311,440.5825,77.8065,0.3145,2.33,40.88481294,346.9861573,11.78283689,1.462941452,260,17.26271946,42.2208806
MG17,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_2,Brid.,Sphagnum,1open,Open bog,Lawn-carpet,691.746,41.91765076,60.59687926,5.9822,8.2256,272.3577,0.8236,5.0607,446.7611,80.7333,0.3479,2.28,40.76245901,313.1201826,13.01815127,0.486621434,570,23.62611916,10.16921861
MG2,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_1,Brid.,Sphagnum,2semi,Pine bog,Hummock,681.973,40.56885109,59.48749237,6.4326,8.8449,276.4228,0.7134,6.0311,446.1089,43.2157,0.0803,2.24,40.12007069,316.5428349,12.67445232,-0.148437597,75,22.92372522,4.30158756
MG6,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_1,Brid.,Sphagnum,2semi,Pine bog,Hummock,666.093,50.75377322,76.19628162,6.4140,8.8192,364.2931,0.7628,7.5000,452.2917,71.5152,0.1688,2.36,37.06434172,401.3574274,9.234746685,6.744994706,40,12.18167111,3.62437197
MG7,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_1,Brid.,Sphagnum,2semi,Pine bog,Hummock,659.096,38.71344494,58.73715125,6.1525,8.4596,289.0705,0.7414,5.7944,450.8411,73.2000,0.1415,2.20,42.02719271,331.0976728,12.69329149,-0.980592711,60,22.39341592,5.480850067
MG9,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_1,Brid.,Sphagnum,2semi,Pine bog,Hummock,665.915,43.25400904,64.95423679,4.6027,6.3288,366.4596,0.7705,5.6285,454.4090,75.2414,0.1654,2.24,37.59585819,404.0554855,9.304627592,6.997061556,90,11.86367352,-1.53149439
MJ11,Kulflyten,59.90254,15.83353,Sphagnum_majus,MJ,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Carpet ,647.295,30.8603105,47.67580453,6.2520,8.5965,159.9190,0.5142,7.0103,445.1546,49.5909,0.2315,2.17,51.00851729,210.9275456,24.18295683,-14.17774417,25,60.23174681,22.1387173
MJ2,Kulflyten,59.90254,15.83353,Sphagnum_majus,MJ,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Carpet ,706.486,35.86224728,50.76142132,4.5701,6.2839,292.1811,0.6374,5.4217,445.3815,63.5000,0.1795,2.13,44.99025376,337.1713237,13.34344014,4.365759511,0,50.05012693,13.16148704
MJ4,Kulflyten,59.90254,15.83353,Sphagnum_majus,MJ,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Carpet ,677.976,37.71772965,55.63282337,5.5304,7.6043,130.3462,0.6215,5.0980,444.3137,82.1481,0.1946,2.14,56.58678724,186.9330194,30.2711567,-13.50907901,10,46.88559756,4.354996867
MJ5,Kulflyten,59.90254,15.83353,Sphagnum_majus,MJ,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Carpet ,702.828,,,3.8591,5.3062,151.2346,0.5413,5.0657,442.7767,87.1538,0.1713,2.11,53.7991208,205.0336887,26.23916154,-9.213834587,10,,
MJ7,Kulflyten,59.90254,15.83353,Sphagnum_majus,MJ,(Russow) C.E.O.Jensen,Cuspidata,1open,Open bog,Carpet ,659.246,32.68293497,49.57620342,6.5925,9.0646,195.7187,0.4973,8.9796,445.3061,87.4074,0.2991,2.26,47.33064298,243.0492974,19.47368023,-9.770427556,0,35.12782456,-0.988827889
PL2,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_3,Brid.,Sphagnum,3dark,Spruce forest,Hummock,651.685,40.10371651,61.53846154,7.3573,10.1162,356.3337,0.8155,7.9767,442.4125,55.4634,0.7151,2.27,34.32486316,390.6585398,8.786410552,4.234393304,300,29.80528799,20.27074835
PL4,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_3,Brid.,Sphagnum,3dark,Spruce forest,Hummock,630.302,44.89821557,71.23287671,6.6252,9.1097,206.1311,0.7338,9.0909,444.0083,48.8409,0.8943,2.34,45.31560077,251.446679,18.02195239,-11.82514486,370,36.73276969,26.01778073
PL6,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_3,Brid.,Sphagnum,3dark,Spruce forest,Hummock,660.297,29.71442905,45.0016072,5.5067,7.5717,249.2462,0.7446,8.8477,443.0041,50.0698,0.5328,2.31,41.52463853,290.7708697,14.28087985,-4.893206757,,63.062038,18.88747249
PL7,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_3,Brid.,Sphagnum,3dark,Spruce forest,Hummock,649.919,35.74698492,55.00222982,4.4193,6.0765,256.6462,0.7744,10.8108,444.0748,41.0769,0.9829,2.42,41.13004988,297.7762666,13.81240028,-5.230490219,300,25.43917763,13.32255661
PL8,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_3,Brid.,Sphagnum,3dark,Spruce forest,Hummock,667.956,51.13020718,76.54723127,6.4932,8.9282,243.5766,0.6986,9.6154,441.7308,45.9400,0.9874,2.22,38.74280405,282.3193714,13.72304134,-4.972430501,,42.05692605,9.465980994
PP1,Kulflyten,59.90254,15.83353,Sphagnum_papillosum,PA,Lindb.,Sphagnum,1open,Fen soak,Carpet,608.566,30.97590078,50.89983639,7.8707,10.8221,258.9928,0.6708,4.6967,455.7730,97.0417,0.1551,2.14,42.75882642,301.7516322,14.17020551,-8.968254579,70,27.71123753,16.39396745
PP3,Kulflyten,59.90254,15.83353,Sphagnum_papillosum,PA,Lindb.,Sphagnum,1open,Fen soak,Carpet,625.392,42.5243778,67.99637353,7.4750,10.2781,321.0913,0.6312,6.0429,452.8265,74.9355,0.1537,2.21,40.52065187,361.6119425,11.2055624,-1.299620794,20,33.23886038,14.07145281
PP5,Kulflyten,59.90254,15.83353,Sphagnum_papillosum,PA,Lindb.,Sphagnum,1open,Fen soak,Carpet,652.170,24.71091453,37.89026978,5.3142,7.3071,239.0194,0.6219,6.0721,454.0797,74.7813,0.1637,2.27,35.4531067,274.4725143,12.91681493,-7.335702939,35,24.93694707,10.7297616
