Site,Replicate plot,CWM_SLA,CMW_Root,CMW_Hmax,CMW_RS,CMW_LeafN,CMW_RootN,CMW_Leafd15N,CMW_Leafd13C,CMW_Rootd15N,lnSilt,lnPrimprod,,,,,,,,,,,,,,,,,,,,,,,,,
O8,4,0.978,-0.683,0.441,0.709,-0.202,0.029,0.598,-0.558,0.781,-1.160,4.584,,,,,,,,,,,,,,,,,,,,,,,,,
O8,5,-1.248,0.314,-1.016,-1.325,-0.995,0.213,-1.738,1.772,-0.596,-1.160,3.131,,,,,,,,,,,,,,,,,,,,,,,,,
O9,1,-0.374,0.995,0.906,-0.307,-0.933,-0.453,1.273,1.263,-0.156,-0.666,4.361,,,,,,,,,,,,,,,,,,,,,,,,,
O9,2,1.245,-0.547,-1.121,1.699,1.307,-1.257,-0.854,-0.694,1.488,-0.666,4.167,,,,,,,,,,,,,,,,,,,,,,,,,
O9,3,0.661,0.996,-0.518,-0.536,0.243,0.560,-0.918,-1.062,-1.069,-0.666,4.646,,,,,,,,,,,,,,,,,,,,,,,,,
O9,4,-0.175,-0.141,-0.465,0.000,0.456,-0.213,-0.335,-0.333,0.410,-0.666,3.976,,,,,,,,,,,,,,,,,,,,,,,,,
O9,5,-1.357,-1.303,1.198,-0.856,-1.074,1.362,0.834,0.827,-0.672,-0.666,5.668,,,,,,,,,,,,,,,,,,,,,,,,,
O10,1,1.066,0.573,-0.433,0.785,0.910,0.247,-0.470,0.759,-0.934,-0.501,2.422,,,,,,,,,,,,,,,,,,,,,,,,,
O10,2,0.820,-1.227,-1.253,-0.189,1.050,0.223,-0.600,0.885,-1.076,-0.501,1.993,,,,,,,,,,,,,,,,,,,,,,,,,
O10,3,-0.992,0.388,1.910,-1.386,-1.567,-1.972,1.659,-2.500,1.121,-0.501,3.970,,,,,,,,,,,,,,,,,,,,,,,,,
O10,4,-0.266,1.163,-0.287,0.050,-0.104,0.568,-1.067,0.110,0.843,-0.501,3.482,,,,,,,,,,,,,,,,,,,,,,,,,
O10,5,-1.446,0.330,1.315,0.929,-1.339,0.712,1.077,-0.139,1.122,-0.501,4.031,,,,,,,,,,,,,,,,,,,,,,,,,
O11,1,-1.579,0.903,-0.829,-0.557,-1.185,-0.480,0.384,-1.413,-0.595,-0.809,2.797,,,,,,,,,,,,,,,,,,,,,,,,,
O11,2,-0.217,-0.737,0.915,-0.184,-0.837,-1.390,1.559,0.305,1.673,-0.809,3.460,,,,,,,,,,,,,,,,,,,,,,,,,
O11,3,0.562,1.201,0.268,-0.576,0.495,0.015,-0.333,0.877,0.151,-0.809,3.585,,,,,,,,,,,,,,,,,,,,,,,,,
O11,4,1.054,-0.321,0.904,-0.450,1.255,1.170,-0.897,0.862,-0.429,-0.809,3.839,,,,,,,,,,,,,,,,,,,,,,,,,
O11,5,0.180,-1.046,-1.259,1.767,0.272,0.685,-0.713,-0.631,-0.800,-0.809,2.697,,,,,,,,,,,,,,,,,,,,,,,,,
O12,1,-0.493,-1.286,-0.232,-0.404,-0.025,0.266,0.739,1.453,1.419,-0.400,4.392,,,,,,,,,,,,,,,,,,,,,,,,,
O12,2,-0.294,-0.779,-0.934,-0.200,1.566,-0.049,0.698,-0.797,-1.220,-0.400,4.121,,,,,,,,,,,,,,,,,,,,,,,,,
O12,3,-1.116,0.462,1.704,1.757,-1.139,-1.200,0.746,0.351,0.084,-0.400,4.593,,,,,,,,,,,,,,,,,,,,,,,,,
O12,4,1.505,0.453,-0.151,-0.725,0.089,1.492,-1.204,0.055,0.333,-0.400,4.383,,,,,,,,,,,,,,,,,,,,,,,,,
O12,5,0.399,1.150,-0.386,-0.428,-0.491,-0.509,-0.979,-1.062,-0.615,-0.400,4.050,,,,,,,,,,,,,,,,,,,,,,,,,
M1,1,1.023,1.265,-1.225,0.540,0.828,-0.483,-0.668,-0.477,-1.470,0.956,2.965,,,,,,,,,,,,,,,,,,,,,,,,,
M1,2,0.762,-0.711,-0.549,0.308,0.723,-0.423,-0.971,-0.114,0.416,0.956,3.785,,,,,,,,,,,,,,,,,,,,,,,,,
M1,3,0.194,0.806,-0.219,-0.755,0.598,0.836,1.299,-1.307,-0.214,0.956,3.821,,,,,,,,,,,,,,,,,,,,,,,,,
M1,4,-1.423,-0.279,0.710,-1.280,-0.823,1.236,0.827,0.593,-0.005,0.956,4.389,,,,,,,,,,,,,,,,,,,,,,,,,
M1,5,-0.556,-1.081,1.283,1.186,-1.325,-1.166,-0.488,1.304,1.273,0.956,4.313,,,,,,,,,,,,,,,,,,,,,,,,,
M2,1,-0.913,-0.738,-0.165,0.065,-1.627,-1.500,-1.306,1.040,-0.802,0.128,4.425,,,,,,,,,,,,,,,,,,,,,,,,,
M2,2,0.601,-0.537,-0.652,-1.011,-0.062,0.991,0.295,-0.513,-0.419,0.128,3.216,,,,,,,,,,,,,,,,,,,,,,,,,
M2,3,1.224,-0.646,-0.588,-0.506,0.127,0.828,0.571,-0.452,-0.835,0.128,3.916,,,,,,,,,,,,,,,,,,,,,,,,,
M2,4,0.212,0.289,-0.349,-0.186,1.020,-0.283,1.165,-1.144,0.595,0.128,3.157,,,,,,,,,,,,,,,,,,,,,,,,,
M2,5,-1.123,1.633,1.755,1.638,0.542,-0.036,-0.725,1.069,1.460,0.128,3.536,,,,,,,,,,,,,,,,,,,,,,,,,
M3,1,0.071,0.762,-0.272,-0.089,0.084,1.210,0.914,-0.881,0.980,-0.594,2.553,,,,,,,,,,,,,,,,,,,,,,,,,
